name,type,episodes,mal_id
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV,39,31933
Yakusoku no Neverland,TV,12,37779
Summertime Render,TV,25,47194
Uchuu Kyoudai,TV,99,12431
Mob Psycho 100,TV,12,32182
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,33049
Ansatsu Kyoushitsu 2nd Season,TV,25,30654
Aria the Origination,TV,13,3297
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,11981
Karakai Jouzu no Takagi-san Movie,Movie,1,49722
Kimetsu no Yaiba,TV,26,38000
Mo Dao Zu Shi: Wanjie Pian,ONA,12,40434
Rainbow: Nisha Rokubou no Shichinin,TV,26,6114
Banana Fish,TV,24,36649
Gintama: The Semi-Final,Special,2,44087
Chihayafuru 3,TV,24,37379
Yuu☆Yuu☆Hakusho,TV,112,392
Nichijou,TV,26,10165
Owarimonogatari,TV,12,31181
Bungou Stray Dogs 4th Season,TV,13,50330
Jujutsu Kaisen 0 Movie,Movie,1,48561
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,11577
Zoku Owarimonogatari,TV,6,36999
Golden Kamuy 3rd Season,TV,12,40059
Haikyuu!!,TV,25,20583
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV,24,26055
Gintama: Yorinuki Gintama-san on Theater 2D,Movie,2,21899
Grand Blue,TV,12,37105
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie,1,38040
Mushishi Zoku Shou: Odoro no Michi,Special,1,24687
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,42203
Yuru Camp△ Movie,Movie,1,38475
Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,25781
Kono Oto Tomare! Part 2,TV,13,38889
Koukaku Kidoutai: Stand Alone Complex,TV,26,467
Mononoke,TV,12,2246
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie,1,36538
Saenai Heroine no Sodatekata Fine,Movie,1,36885
Saiki Kusuo no Ψ-nan 2,TV,24,34612
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,37999
Karakai Jouzu no Takagi-san 3,TV,12,49721
Saiki Kusuo no Ψ-nan,TV,120,33255
Fruits Basket: Prelude,Movie,1,49310
Hunter x Hunter,TV,62,136
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,39741
Vivy: Fluorite Eye's Song,TV,13,46095
Major S5,TV,25,5028
Mo Dao Zu Shi,ONA,15,37208
Natsume Yuujinchou Roku Specials,Special,2,36275
