name,type,episodes,mal_id
Doupo Cangqiong 2nd Season Specials,ONA,3,39178
Durarara!!x2 Ketsu: Dufufufu!!,Special,1,32915
Fairy Tail Movie 2: Dragon Cry,Movie,1,30778
Fanren Xiu Xian Chuan 3rd Season,ONA,48,57067
Gensoumaden Saiyuuki,TV,50,129
Ginga Tetsudou 999 (Movie),Movie,1,1301
Gugure! Kokkuri-san,TV,12,23251
Hataraku Saibou,TV,13,37141
Hungry Heart: Wild Striker,TV,52,17
InuYasha Movie 4: Guren no Houraijima,Movie,1,449
Jujutsu Kaisen 2nd Season Recaps,Special,2,56243
Shoukoku no Altair,TV,24,34547
Taiho Shichau zo (TV),TV,47,1372
Totsukuni no Shoujo,OVA,1,39495
Tsurezure Children,TV,12,34902
Utawarerumono Specials,Special,6,1830
Wakakusa Monogatari: Nan to Jo-sensei,TV,40,2558
Watashi ni Tenshi ga Maiorita! Precious Friends,Movie,1,44141
Wu Dong Qian Kun 2nd Season,ONA,12,42266
Xingchen Bian: Po Tian Mi Ju,ONA,16,50667
Shin Tennis no Oujisama,TV,13,11371
Shounen Onmyouji,TV,26,1557
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,Movie,1,2498
So Ra No Wo To,TV,12,6802
Sora no Otoshimono: Tokeijikake no Angeloid,Movie,1,9790
To LOVE-Ru Darkness 2nd Specials,Special,2,31711
Totsukuni no Shoujo (2022),OVA,1,48405
Yamada-kun to 7-nin no Majo,TV,12,28677
"Yondemasu yo, Azazel-san. Z",TV,13,16241
Kakuriyo no Yadomeshi,TV,26,36754
Kara no Kyoukai Remix: Gate of Seventh Heaven,Movie,1,6624
Kemono Friends,TV,12,33089
Kidou Senshi Gundam 00 Special Edition,OVA,3,7270
Kindaichi Shounen no Jikenbo Returns,TV,25,22817
Kingyo Chuuihou!,TV,54,727
Kiratto Pri☆chan Season 2,TV,51,38804
Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV,26,340
Patapata Hikousen no Bouken,TV,26,708
Princess Principal: Crown Handler Movie 1,Movie,1,37807
Aa! Megami-sama! Movie,Movie,1,304
Aa! Megami-sama! Sorezore no Tsubasa,TV,22,880
Afro Samurai Movie,Movie,1,13709
Aikatsu! Movie,Movie,1,22819
Basilisk: Kouga Ninpou Chou,TV,24,67
Boku no Hero Academia the Movie 1: Futari no Hero,Movie,1,36896
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,Special,1,4182
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,28121
Fantastic Children,TV,26,455
Garo Movie: Divine Flame,Movie,1,28539
Gokushufudou Part 2,ONA,5,48707
Higashi no Eden Movie I: The King of Eden,Movie,1,6372
Hinomaruzumou,TV,24,37007
Amaama to Inazuma,TV,12,32828
Black Jack 21,TV,17,2214
Demi-chan wa Kataritai,TV,12,33988
Di Yi Xulie,ONA,16,55733
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,Movie,1,15925
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,Special,1,11359
Drifters (OVA),OVA,2,36480
Giant Killing,TV,26,7661
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,OVA,1,35321
Hakumei no Tsubasa,ONA,7,40861
Hidamari Sketch Specials,Special,2,3165
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,Special,1,13403
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,38790
Shoubushi Densetsu Tetsuya,TV,20,3369
Tensei shitara Ken deshita,TV,12,49891
The Big O,TV,26,567
To LOVE-Ru Darkness OVA,OVA,6,13851
Tonari no Seki-kun,TV,21,18139
Uchuu Patrol Luluco,TV,13,32681
Un-Go: Inga-ron,Movie,1,11531
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,Movie,1,34374
"Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",ONA,1,8532
Kimagure Orange☆Road,TV,48,1087
Koukyuu no Karasu,TV,13,50590
Kuroko no Basket: Baka ja Katenai no yo!,OVA,1,19669
Mahou Shoujo Lyrical Nanoha: Detonation,Movie,1,35984
Mashiro no Oto,TV,12,42590
Mitsudomoe: Oppai Ippai Mama Genki,Special,1,9396
Net-juu no Susume,TV,10,36038
Nobunaga Concerto,TV,10,24135
Overtake!,TV,12,54301
Persona 3 the Movie 1: Spring of Birth,Movie,1,14407
PriPara,TV,140,23135
Karakai Jouzu no Takagi-san: Water Slide,OVA,1,37621
"Kuroshitsuji: Sono Shitsuji, Kougyou",Special,1,6793
Metropolis,Movie,1,522
Mitsudomoe,TV,13,7627
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,Special,1,55818
One Piece Movie 04: Dead End no Bouken,Movie,1,462
One Punch Man 2nd Season,TV,12,34134
Over Drive,TV,26,2112
Poputepipikku 2nd Season,TV,11,50663
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,Movie,1,9979
R.O.D: The TV,TV,26,209
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,Movie,1,41590
Saki Achiga-hen: Episode of Side-A Specials,Special,4,15989
Aikatsu!,TV,178,15061
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,OVA,1,37996
Birdie Wing: Golf Girls' Story,TV,13,50248
Doraemon Movie 40: Nobita no Shin Kyouryuu,Movie,1,40044
Durarara!!x2 Ten: Onoroke Chakapoko,Special,1,31552
Final Fantasy VII: Advent Children - Venice Film Festival Footage,Movie,1,6152
Fugou Keiji: Balance:Unlimited,TV,11,41120
Fushigi no Umi no Nadia,TV,39,1251
Girls & Panzer,TV,12,14131
Golgo 13 (TV),TV,50,4039
Hataraku Saibou Black,TV,13,41694
Hello! Lady Lynn,TV,36,2405
Irozuku Sekai no Ashita kara,TV,13,37497
Isshuukan Friends.,TV,12,21327
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,TV,13,53621
Shine Post,TV,12,50221
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,Movie,1,1861
So Ra No Wo To Specials,Special,2,8197
Tiger & Bunny 2 Part 2,ONA,12,52291
To LOVE-Ru Darkness 2nd OVA,OVA,3,31380
Toaru Majutsu no Index II,TV,24,8937
Towa no Quon 4: Guren no Shoushin,Movie,1,10715
Tsubasa Chronicle,TV,26,177
Voy@ger,ONA,1,49661
Yawara!,TV,124,691
Shion no Ou,TV,22,2562
Shiroi Suna no Aquatope,TV,24,46093
Shixiong A Shixiong,ONA,13,54123
Shuumatsu no Walküre II,ONA,10,49618
Toriko,TV,147,10033
Utawarerumono: Futari no Hakuoro,TV,28,40590
Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,OVA,1,55889
Xian Wang de Richang Shenghuo 4,ONA,12,53450
"Yondemasu yo, Azazel-san. (TV)",TV,13,10216
Yu☆Gi☆Oh! The Dark Side of Dimensions,Movie,1,28771
Zombieland Saga,TV,12,37976
Kanojo ga Koushaku-tei ni Itta Riyuu,TV,12,52308
Kiniro Mosaic: Pretty Days,Movie,1,33034
Magic Knight Rayearth II,TV,29,1563
Motto! Ojamajo Doremi,TV,50,352
NieR:Automata Ver1.1a,TV,12,51105
Oban Star-Racers,TV,26,1212
Ojamajo Doremi Sharp,TV,49,351
Ojiisan no Lamp,Movie,1,10500
Persona 4 the Animation,TV,25,10588
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,Movie,1,39921
Shakugan no Shana III (Final),TV,24,6773
Baka to Test to Shoukanjuu,TV,13,6347
Bakuten!!,TV,12,43756
Casshern Sins,TV,24,4981
Densetsu no Yuusha no Densetsu,TV,24,8086
"Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma",Movie,1,35424
Fullmetal Alchemist: The Conqueror of Shamballa,Movie,1,430
Ganbare Genki,TV,35,3213
Golden Kamuy 2nd Season OVA,OVA,3,38710
Hayate no Gotoku!,TV,52,2026
Heroic Age,TV,26,2002
Hoozuki no Reitetsu 2nd Season OVA,OVA,3,39538
Hoshi wo Ou Kodomo,Movie,1,9760
Huyao Xiao Hongniang: Wangquan Fugui,ONA,14,33209
Hybrid Child,OVA,4,11135
Ike! Ina-chuu Takkyuu-bu,TV,26,914
Aa! Megami-sama! (TV) Specials,Special,3,1003
Arslan Senki (TV): Fuujin Ranbu,TV,8,31821
Bai Yao Pu 3rd Season,ONA,12,50537
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,Movie,1,4835
Cike Wu Liuqi Fanwai,ONA,4,38410
City Hunter: Goodbye My Sweetheart,Special,1,1478
Cosmic Baton Girl Comet-san☆,TV,43,2036
D-Frag!,TV,12,20031
Da Wang Rao Ming,ONA,12,44406
Dead Mount Death Play Part 2,TV,12,54743
Fanren Xiu Xian Chuan,ONA,17,41219
Flying Witch,TV,12,31376
Ginga Hyouryuu Vifam,TV,46,2987
Gintama: Monster Strike-hen,ONA,2,40323
Hello World,Movie,1,38816
Huangjin Tingyuan: Dongri Li de Xinnian Yuanwang,ONA,2,54035
Special A,TV,24,3470
Tobe! Isami,TV,50,3036
Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,OVA,8,40389
Wakaokami wa Shougakusei! Movie,Movie,1,37682
Yao Shen Ji 6th Season,ONA,52,54285
Kappa no Coo to Natsuyasumi,Movie,1,2848
Lady Jewelpet,TV,52,22693
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note Special,Special,1,49361
Love Live! Nijigasaki Gakuen School Idol Doukoukai,TV,13,40879
Macross Zero,OVA,5,194
Meitantei Conan Magic File 2: Kudou Shinichi Nazo no Kabe to Kuro Lab Jiken,OVA,1,5348
"Momoko, Kaeru no Uta ga Kikoeru yo.",Movie,1,7877
Ryuu to Sobakasu no Hime,Movie,1,44807
Sengoku Basara Ni,TV,12,6634
KanColle Movie,Movie,1,31418
Kidou Senkan Nadesico,TV,26,218
Koi wa Ameagari no You ni,TV,12,34984
Konohana Kitan,TV,12,35241
Kyoukaisenjou no Horizon II,TV,13,12487
Meitantei Conan OVA 04: Conan to Kid to Crystal Mother,OVA,1,2514
Minami-ke Betsubara,OVA,1,5713
Nanatsu no Taizai OVA,OVA,2,30347
Nanbaka 2,ONA,12,34414
Ningen Shikkaku: Director's Cut-ban,Movie,1,7651
One Piece: Heart of Gold,Special,1,33338
Owari no Seraph,TV,12,26243
Ranma ½: Akumu! Shunmin Kou,OVA,1,5493
Aa! Megami-sama! Sorezore no Tsubasa Specials,Special,2,2198
Ao no Exorcist,TV,25,9919
Area 88,OVA,3,1488
Bobobo-bo Bo-bobo,TV,76,1050
Charlotte: Tsuyoimono-tachi,Special,1,31553
Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,Special,1,16934
Denpa-teki na Kanojo,OVA,2,5177
Fate/kaleid liner Prisma☆Illya 3rei!!,TV,12,31706
Gochuumon wa Usagi desu ka?,TV,12,21273
Grappler Baki: Saidai Tournament-hen,TV,24,551
Hello!! Kiniro Mosaic,TV,12,23269
Hellsing,TV,13,270
Heppoko Jikken Animation Excel♥Saga,TV,26,379
"Ijiranaide, Nagatoro-san 2nd Attack",TV,12,50197
Shin Tennis no Oujisama Specials,Special,7,13245
Sugar Sugar Rune,TV,51,1642
Sword Art Online: Alicization - War of Underworld 2nd Season,TV,11,40540
Tasogare Otome x Amnesia: Taima Otome,Special,1,14189
Tensei shitara Slime Datta Ken OVA,OVA,5,38793
Tropical-Rouge! Precure,TV,46,44191
Waga Seishun no Arcadia,Movie,1,2202
Yu☆Gi☆Oh! Duel Monsters,TV,224,481
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV,12,38659
Sora no Aosa wo Shiru Hito yo,Movie,1,39569
Tanoshii Muumin Ikka Bouken Nikki,TV,26,5712
Tensei Oujo to Tensai Reijou no Mahou Kakumei,TV,12,52736
Time Travel Tondekeman!,TV,39,2820
Towa no Quon 5: Souzetsu no Raifuku,Movie,1,10716
Uchuu Senkan Yamato 2,TV,26,1651
Wangan Midnight,TV,26,2608
Xiuluo Wu Shen,ONA,16,49742
Yuru Camp△ Season 2 Specials,Special,2,49026
Zhen Hun Jie,ONA,24,33350
Zipang,TV,26,29
Junjou Romantica,TV,12,3092
Kaichou wa Maid-sama!: Omake da yo!,Special,1,9366
Kono Subarashii Sekai ni Bakuen wo!,TV,12,51958
Kore wa Zombie desu ka? of the Dead,TV,10,10790
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,Movie,1,19191
Lady Lady!!,TV,21,2227
Little Busters!,TV,26,13655
Mahou no Yousei Persia,TV,48,2039
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,Movie,1,33183
Major 2nd 2nd Season,TV,25,40504
Meitantei Conan Magic File 4: Osaka Okonomiyaki Odyssey,OVA,1,8331
Persona 4 the Animation: No One is Alone,Special,1,13587
Saenai Heroine no Sodatekata,TV,12,23277
Sarazanmai,TV,11,37426
Sasuke,TV,29,6056
Sekaiichi Hatsukoi: Propose-hen,Movie,1,40314
Air Gear,TV,25,857
Ani ni Tsukeru Kusuri wa Nai!,TV,12,35015
Anmitsu Hime,TV,51,6093
Be-Bop Highschool,OVA,7,9645
Boku ga Aishita Subete no Kimi e,Movie,1,49834
Burn the Witch #0.8,Special,1,56671
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,ONA,1,35823
Donten ni Warau,TV,12,21743
Doraemon Movie 28: Nobita to Midori no Kyojin Den,Movie,1,5096
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",Movie,1,33378
Hibike! Euphonium: Kakedasu Monaka,Special,1,31665
High School! Kimengumi,TV,86,714
Hitoribocchi no Marumaru Seikatsu,TV,12,37614
Acchi Kocchi,TV,12,12291
Akame ga Kill!,TV,24,22199
Angel Densetsu,OVA,2,5251
Another,TV,12,11111
Biao Ren: Blades of the Guardians,ONA,15,44388
Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,Special,1,43683
Chou Denji Machine Voltes V,TV,40,1069
Da Yu Hai Tang (Movie),Movie,1,10259
Elfen Lied,TV,13,226
Futari-bun no Shoumei,ONA,1,53933
Future GPX Cyber Formula,TV,37,1391
Grisaia no Kajitsu,TV,13,17729
Gundam Build Divers Re:Rise 2nd Season,ONA,13,40942
High School DxD New,TV,12,15451
Hokuto no Ken Zero: Kenshirou Den,Movie,1,5291
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,ONA,24,34420
Isekai Quartet Movie: Another World,Movie,1,41567
Jashin-chan Dropkick',TV,11,39049
Jewelpet Twinkle☆,TV,52,8217
JoJo no Kimyou na Bouken,OVA,6,666
Shingeki no Kyojin: The Final Season Specials,Special,2,49627
Shinryaku!! Ika Musume,OVA,3,13267
Shinryaku!? Ika Musume,TV,12,10378
Shinseiki Evangelion Movie: Shi to Shinsei,Movie,1,31
Shounan Bakusouzoku,OVA,12,2463
"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",Special,3,2424
Tonari no Kaibutsu-kun,TV,13,14227
Kamikaze Kaitou Jeanne,TV,44,142
Kamisama no Memochou,TV,12,10568
Miira no Kaikata,TV,12,35828
Ouritsu Uchuugun: Honneamise no Tsubasa,Movie,1,1034
Pokemon Generations,ONA,18,34514
Psycho-Pass: Sinners of the System Case.2 - First Guardian,Movie,1,37441
Saint☆Oniisan,OVA,2,15775
Kaleido Star: Aratanaru Tsubasa - Extra Stage,OVA,1,428
Ling Qi 2,TV,12,36522
Magic Knight Rayearth,TV,20,435
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,Movie,1,32900
Naruto: Shippuuden Movie 5 - Blood Prison,Movie,1,10589
Oemojisangjuui,ONA,8,53149
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,TV,12,38555
Oushitsu Kyoushi Heine,TV,12,34262
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,Special,1,5419
Puchi Pri*Yucie,TV,26,327
Saki,TV,25,5671
Sayonara Zetsubou Sensei Special,Special,1,10469
Senki Zesshou Symphogear G,TV,13,15793
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,ONA,15,53367
Shigofumi,TV,12,3420
Acchi Kocchi: Place=Princess,Special,1,16273
Amagi Brilliant Park,TV,13,22147
Carnival Phantasm EX Season,OVA,1,12187
Chiyu Mahou no Machigatta Tsukaikata,TV,13,49613
City Hunter Movie: Shinjuku Private Eyes,Movie,1,37516
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,Movie,1,3744
Do It Yourself!!,TV,12,48542
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,Movie,1,33672
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12,40454
Ensemble Stars!! Tsuioku Selection Element,ONA,6,52999
Fairy Tail OVA,OVA,5,9982
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,Special,1,31389
Fullmetal Alchemist: Brotherhood - 4-koma Gekijou,Special,16,7902
Furiko,Special,1,13629
Future GPX Cyber Formula Sin,OVA,5,1395
Grappler Baki (TV),TV,24,287
Hanbun no Tsuki ga Noboru Sora,TV,6,587
Hidamari Sketch,TV,12,1852
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,OVA,1,40841
Initial D Battle Stage 3,OVA,1,47410
Itsudatte Bokura no Koi wa 10 cm Datta.,TV,6,36220
Shokugeki no Souma: Ni no Sara OVA,OVA,2,34480
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,OVA,1,36962
Taiho Shichau zo,OVA,4,1577
Taiyou no Kiba Dagram,TV,75,2257
Tennis no Oujisama: Another Story II - Ano Toki no Bokura,OVA,4,10573
Tian Bao Fuyao Lu 2nd Season,ONA,13,44068
Uchuu no Kishi Tekkaman Blade,TV,49,1459
Yowamushi Pedal: Spare Bike,Movie,1,33302
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,TV,12,16005
Soredemo Machi wa Mawatteiru,TV,12,8726
Sugar Apple Fairy Tale,TV,12,49980
Suisei no Gargantia,TV,13,16524
Suzumiya Haruhi-chan no Yuuutsu,ONA,25,5118
The iDOLM@STER: 765 Pro to Iu Monogatari,Special,1,11889
Tottemo! Luckyman,TV,50,3672
Vinland Saga Season 2: Drowning in the Shadow,ONA,1,54463
Yao Shen Ji 3rd Season,ONA,40,38435
Youjo Senki: Sabaku no Pasta Daisakusen,ONA,1,49236
Yozakura Quartet: Hana no Uta,TV,13,18497
Yozakura Quartet: Tsuki ni Naku,OVA,3,18499
Yu☆Gi☆Oh! 5D's,TV,154,3972
Kamonohashi Ron no Kindan Suiri,TV,13,53879
Kara no Kyoukai Movie 6: Boukyaku Rokuon,Movie,1,5204
Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,Special,1,22763
Kishuku Gakkou no Juliet,TV,12,37475
"Kumo desu ga, Nani ka?",TV,24,37984
Kyuuketsuki Sugu Shinu 2,TV,12,50287
Mahou Shoujo Lyrical Nanoha: Reflection,Movie,1,17947
Mini Dragon Specials,Special,8,49483
Nozomanu Fushi no Boukensha,TV,12,51648
Oooku,ONA,10,54850
Orange: Mirai,Movie,1,34136
Ragna Crimson,TV,24,51297
Senki Zesshou Symphogear GX,TV,13,21573
Shakugan no Shana,TV,24,355
Aggressive Retsuko (ONA) 5th Season,ONA,10,50598
Captain Tsubasa: Road to 2002,TV,52,1614
Chio-chan no Tsuugakuro,TV,12,35821
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,Movie,1,15197
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,Movie,1,37348
Fushigiboshi no☆Futagohime,TV,51,505
Haha wo Tazunete Sanzenri,TV,52,1663
Hetalia: The Beautiful World Specials,Special,4,17273
Hokuto no Ken: Raoh Gaiden Junai-hen,Movie,1,1773
Joshiraku,TV,13,12679
Aishiteruze Baby★★,TV,26,102
Angel Beats! Another Epilogue,Special,1,10067
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,Special,1,27601
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,Movie,1,8369
Days: Touin Gakuen-sen!,OVA,3,34513
Digimon Adventure tri. 2: Ketsui,Movie,1,32108
Doupo Cangqiong: Yuanqi,ONA,3,51038
Dragon Ball Super,TV,131,30694
Fresh Precure!,TV,50,5684
Future GPX Cyber Formula Zero,OVA,8,1393
Gabriel DropOut,TV,12,33731
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,TV,13,49930
Haiyore! Nyaruko-san F,OVA,1,26023
Hetalia World Series,ONA,48,8479
Hetalia World Series Specials,Special,4,10497
Sidonia no Kishi: Ai Tsumugu Hoshi,Movie,1,35759
Simoun,TV,26,879
Sora no Otoshimono Forte,TV,12,8407
Sousou no Frieren: ●● no Mahou,ONA,,56885
Super Cub,TV,12,40685
Tales of Symphonia The Animation: Tethe'alla-hen,OVA,4,5306
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",Special,1,21737
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,OVA,1,9047
Tonari no Seki-kun Specials,Special,2,24365
Urusei Yatsura Movie 5: Kanketsu-hen,Movie,1,1924
Xing Yu Siwan Nian,ONA,16,51390
Yong Sheng: Shi Nian Zhi Yue,ONA,12,55684
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,Movie,1,37305
Kamichu! Specials,Special,4,3449
Kengan Ashura,ONA,12,36903
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,Special,1,3392
Mahou no Princess Minky Momo: Yume wo Dakishimete,TV,62,5953
Mama wa Shougaku 4-nensei,TV,51,333
Odekake Kozame,ONA,,55463
Omoide Poroporo,Movie,1,1029
"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",Movie,1,3848
Psycho-Pass 3,TV,8,39491
Saihate no Paladin: Tetsusabi no Yama no Ou,TV,12,50664
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,TV,12,53590
Samurai 7,TV,26,166
Junjou Romantica Special,Special,1,6553
Juuni Senshi Bakuretsu Eto Ranger,TV,39,2757
K,TV,13,14467
Kizumonogatari: Koyomi Vamp,Movie,1,56609
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",OVA,1,15437
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,Movie,1,17187
Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,Movie,1,19195
Koukaku Kidoutai: Shin Movie,Movie,1,27411
"Kumo no Mukou, Yakusoku no Basho",Movie,1,433
Marmalade Boy,TV,76,334
Meitantei Conan Movie 11: Konpeki no Jolly Roger,Movie,1,2171
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,TV,10,15315
Nodame Cantabile OVA,OVA,1,6187
Oshi ga Budoukan Ittekuretara Shinu,TV,12,37890
Otome Youkai Zakuro,TV,13,8476
Piano no Mori (TV) 2nd Season,TV,12,37975
Pokemon Evolutions,ONA,8,49730
Pretty Rhythm: Aurora Dream,TV,51,10257
Rakudai Kishi no Cavalry,TV,12,30296
3-nen Z-gumi Ginpachi-sensei Announcement Special,Special,1,54761
Ajin Part 1: Shoudou,Movie,1,30868
Ansatsu Kyoushitsu: Deai no Jikan,Special,1,28405
Aoki Densetsu Shoot!,TV,58,1327
"Benriya Saitou-san, Isekai ni Iku",TV,12,50854
Bleach Movie 1: Memories of Nobody,Movie,1,1686
Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,Special,1,50532
Chouyaku Hyakuninisshu: Uta Koi.,TV,13,13349
Darker than Black: Ryuusei no Gemini,TV,12,6573
Digimon Adventure tri. 1: Saikai,Movie,1,25687
Doraemon Movie 15: Nobita to Mugen Sankenshi,Movie,1,2676
Genji Tsuushin Agedama,TV,51,8215
Genshiken Nidaime,TV,13,18465
"Goodbye, Don Glees!",Movie,1,49345
Hakuouki: Reimeiroku,TV,12,13115
Houkago Teibou Nisshi,TV,12,39730
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,Movie,1,10999
Shingeki no Bahamut: Virgin Soul,TV,24,30736
SSSS.Dynazenon,TV,12,40870
Taishou Yakyuu Musume.,TV,12,5141
Tegamibachi: Hikari to Ao no Gensou Yawa,Special,1,5538
Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,Movie,1,814
Tiger & Bunny 2,ONA,13,41595
To LOVE-Ru Darkness 2nd,TV,12,28979
Toradora! Recap,OVA,1,23701
Toradora!: Bentou no Gokui,Special,1,11553
Toshokan Sensou,TV,12,3613
Tsugu Tsugumomo,TV,12,39469
Uchuusen Sagittarius,TV,77,3317
Yoru no Kuni,ONA,3,48727
Yowamushi Pedal: Re:Road,Movie,1,30790
Zero no Tsukaima F,TV,12,11319
Shonan Junai Gumi!,OVA,5,1913
Shugo Chara!! Doki,TV,51,5262
Steins;Gate: Soumei Eichi no Cognitive Computing,ONA,4,27957
Tenchi Muyou!,TV,26,696
Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,Movie,1,10731
Tenshi na Konamaiki,TV,50,200
Tetsuwan Birdy Decode,TV,13,3974
Tian Bao Fuyao Lu,ONA,13,40735
To LOVE-Ru Darkness,TV,12,13663
Toaru Majutsu no Index Movie: Endymion no Kiseki,Movie,1,11743
Tokyo Ravens,TV,24,16011
Yuusha Keisatsu J-Decker,TV,48,5075
Yuusha-Ou GaoGaiGar Final Grand Glorious Gathering,TV,12,4416
K: Seven Stories Movie 1 - R:B - Blaze,Movie,1,33248
Kiniro no Corda: Primo Passo,TV,25,1579
Koi wa Sekai Seifuku no Ato de,TV,12,48643
Kono Sekai no Tanoshimikata: Secret Story Film,Movie,1,42750
Mardock Scramble: The First Compression,Movie,1,8100
Mugen no Juunin: Immortal,ONA,24,39806
Mugen no Ryvius,TV,26,593
Naruto: Shippuuden Movie 4 - The Lost Tower,Movie,1,8246
Paniponi Dash!,TV,26,490
Pokemon XY: Mega Evolution,Special,4,23301
Ranma ½: Kessen Tougenkyou! Hanayome wo Torimodose!,Movie,1,792
Saki: Zenkoku-hen,TV,13,16123
Sakigake!! Otokojuku,TV,34,2903
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,TV,12,30187
Salaryman Kintarou,TV,20,1608
Seijo no Maryoku wa Bannou desu Season 2,TV,12,51215
Bai She II: Qing She Jie Qi,Movie,1,49409
Bai She: Yuan Qi,Movie,1,38740
Bleach Movie 2: The DiamondDust Rebellion - Mou Hitotsu no Hyourinmaru,Movie,1,2889
Captain Tsubasa (2018),TV,52,36934
City Hunter: The Secret Service,Special,1,1477
Edens Zero 2nd Season,TV,25,50002
Fukigen na Mononokean,TV,13,32696
Goblin Slayer,TV,12,37349
Gokudou-kun Manyuuki,TV,26,2409
Grimm Meisaku Gekijou,TV,24,4060
Hetalia: The Beautiful World,ONA,20,15195
High School DxD BorN,TV,12,24703
High School DxD BorN: Yomigaeranai Fushichou,OVA,1,32215
Huyao Xiao Hongniang: Beishan Yaodi,ONA,8,36823
Idoly Pride,TV,12,40842
Ie Naki Ko Remy Specials,Special,3,10471
Ikoku Meiro no Croisée The Animation,TV,12,9938
Aikatsu Stars! Movie,Movie,1,31485
Ano Natsu de Matteru,TV,12,11433
Brave Story,Movie,1,1681
