name,type,episodes,mal_link
Tian Guan Cifu Er,ONA,12,https://myanimelist.net/anime/50399/Tian_Guan_Cifu_Er
Mushishi Zoku Shou,TV,10,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
Great Teacher Onizuka,TV,43,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
"""Oshi no Ko""",TV,11,https://myanimelist.net/anime/52034/Oshi_no_Ko
Shiguang Dailiren,ONA,11,https://myanimelist.net/anime/44074/Shiguang_Dailiren
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV,12,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
Odd Taxi,TV,13,https://myanimelist.net/anime/46102/Odd_Taxi
Violet Evergarden,TV,13,https://myanimelist.net/anime/33352/Violet_Evergarden
Hajime no Ippo: New Challenger,TV,26,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie,1,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
Howl no Ugoku Shiro,Movie,1,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
Mononoke Hime,Movie,1,https://myanimelist.net/anime/164/Mononoke_Hime
Mushishi,TV,26,https://myanimelist.net/anime/457/Mushishi
Made in Abyss,TV,13,https://myanimelist.net/anime/34599/Made_in_Abyss
Bungou Stray Dogs 5th Season,TV,11,https://myanimelist.net/anime/54898/Bungou_Stray_Dogs_5th_Season
Made in Abyss: Retsujitsu no Ougonkyou,TV,12,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
Natsume Yuujinchou Shi,TV,13,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
Shigatsu wa Kimi no Uso,TV,22,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV,12,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
Haikyuu!! Second Season,TV,25,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
Tengen Toppa Gurren Lagann,TV,27,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
Shingeki no Kyojin Season 3,TV,12,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
Natsume Yuujinchou Roku,TV,11,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
Ping Pong the Animation,TV,11,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
Death Note,TV,37,https://myanimelist.net/anime/1535/Death_Note
Jujutsu Kaisen,TV,24,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
Suzumiya Haruhi no Shoushitsu,Movie,1,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
Cyberpunk: Edgerunners,ONA,10,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
Hajime no Ippo: Rising,TV,25,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie,1,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie,1,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
Shin Evangelion Movie: ||,Movie,1,https://myanimelist.net/anime/3786/Shin_Evangelion_Movie__||
Kenpuu Denki Berserk,TV,25,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie,1,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV,39,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
JoJo no Kimyou na Bouken Part 6: Stone Ocean Part 3,ONA,14,https://myanimelist.net/anime/53273/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean_Part_3
Kizumonogatari II: Nekketsu-hen,Movie,1,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
Natsume Yuujinchou Go,TV,11,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
Natsume Yuujinchou San,TV,13,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
Ookami Kodomo no Ame to Yuki,Movie,1,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
Shouwa Genroku Rakugo Shinjuu,TV,13,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
Yojouhan Shinwa Taikei,TV,11,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Movie,1,https://myanimelist.net/anime/32/Shinseiki_Evangelion_Movie__Air_Magokoro_wo_Kimi_ni
Slam Dunk,TV,101,https://myanimelist.net/anime/170/Slam_Dunk
Kimi no Suizou wo Tabetai,Movie,1,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
Nana,TV,47,https://myanimelist.net/anime/877/Nana
Fate/Zero 2nd Season,TV,12,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
Haikyuu!! To the Top Part 2,TV,12,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
Fruits Basket 2nd Season,TV,25,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
Shingeki no Kyojin,TV,25,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
Shoujo☆Kageki Revue Starlight Movie,Movie,1,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
Spy x Family,TV,12,https://myanimelist.net/anime/50265/Spy_x_Family
Zoku Natsume Yuujinchou,TV,13,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
Perfect Blue,Movie,1,https://myanimelist.net/anime/437/Perfect_Blue
Mushishi: Hihamukage,Special,1,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
Bakuman. 3rd Season,TV,25,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
