name,type,episodes,mal_link
Black Cat (TV),TV,23,https://myanimelist.net/anime/68/Black_Cat_TV
Black Jack the Movie,Movie,1,https://myanimelist.net/anime/1521/Black_Jack_the_Movie
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi,Special,1,https://myanimelist.net/anime/32365/Boruto__Naruto_the_Movie_-_Naruto_ga_Hokage_ni_Natta_Hi
Captain Herlock,Movie,1,https://myanimelist.net/anime/17269/Captain_Herlock
Cardcaptor Sakura: Kero-chan ni Omakase!,Movie,1,https://myanimelist.net/anime/1078/Cardcaptor_Sakura__Kero-chan_ni_Omakase
Cinderella Monogatari,TV,26,https://myanimelist.net/anime/2817/Cinderella_Monogatari
City Hunter: Hyakuman Dollar no Inbou,Movie,1,https://myanimelist.net/anime/1476/City_Hunter__Hyakuman_Dollar_no_Inbou
D-Frag!*,OVA,1,https://myanimelist.net/anime/23383/D-Frag
Date A Live Movie: Mayuri Judgment,Movie,1,https://myanimelist.net/anime/24655/Date_A_Live_Movie__Mayuri_Judgment
Date A Live: Date to Date,OVA,1,https://myanimelist.net/anime/17641/Date_A_Live__Date_to_Date
Drifters: The Outlandish Knight,OVA,1,https://myanimelist.net/anime/38360/Drifters__The_Outlandish_Knight
Ensemble Stars!! Tsuioku Selection Element,ONA,6,https://myanimelist.net/anime/52999/Ensemble_Stars_Tsuioku_Selection_Element
Fuuto Tantei,TV,12,https://myanimelist.net/anime/48649/Fuuto_Tantei
Gakuen Utopia Manabi Straight!,TV,12,https://myanimelist.net/anime/1858/Gakuen_Utopia_Manabi_Straight
Hanayamata,TV,12,https://myanimelist.net/anime/21681/Hanayamata
Himouto! Umaru-chan R,TV,12,https://myanimelist.net/anime/35376/Himouto_Umaru-chan_R
Huyao Xiao Hongniang: Zhu Ye,ONA,12,https://myanimelist.net/anime/38533/Huyao_Xiao_Hongniang__Zhu_Ye
Shokugeki no Souma: Gou no Sara,TV,13,https://myanimelist.net/anime/40902/Shokugeki_no_Souma__Gou_no_Sara
Slam Dunk (Movie),Movie,1,https://myanimelist.net/anime/1764/Slam_Dunk_Movie
Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,Movie,1,https://myanimelist.net/anime/15307/Smile_Precure_Movie__Ehon_no_Naka_wa_Minna_Chiguhagu
Tennis no Oujisama Movie 1: Futari no Samurai - The First Game,Movie,1,https://myanimelist.net/anime/815/Tennis_no_Oujisama_Movie_1__Futari_no_Samurai_-_The_First_Game
Touhou Niji Sousaku Doujin Anime: Musou Kakyou Special,OVA,1,https://myanimelist.net/anime/30547/Touhou_Niji_Sousaku_Doujin_Anime__Musou_Kakyou_Special
Uma Musume: Pretty Derby,TV,13,https://myanimelist.net/anime/35249/Uma_Musume__Pretty_Derby
Xian Wang de Richang Shenghuo,ONA,15,https://myanimelist.net/anime/41094/Xian_Wang_de_Richang_Shenghuo
Xue Ying Ling Zhu 2nd Season,ONA,22,https://myanimelist.net/anime/45599/Xue_Ying_Ling_Zhu_2nd_Season
Zero no Tsukaima: Princesses no Rondo,TV,12,https://myanimelist.net/anime/3712/Zero_no_Tsukaima__Princesses_no_Rondo
Kaikan Phrase,TV,44,https://myanimelist.net/anime/1021/Kaikan_Phrase
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV,50,https://myanimelist.net/anime/2544/Kazoku_Robinson_Hyouryuuki__Fushigi_na_Shima_no_Flone
Koori Zokusei Danshi to Cool na Douryou Joshi,TV,12,https://myanimelist.net/anime/52173/Koori_Zokusei_Danshi_to_Cool_na_Douryou_Joshi
Little Busters! Sekai no Saitou wa Ore ga Mamoru!,OVA,1,https://myanimelist.net/anime/17643/Little_Busters_Sekai_no_Saitou_wa_Ore_ga_Mamoru
Love Live! μ's Final Love Live! Opening Animation,Special,1,https://myanimelist.net/anime/33106/Love_Live_μs_Final_Love_Live_Opening_Animation
Lupin III: Part 6 - Jidai,Special,1,https://myanimelist.net/anime/50094/Lupin_III__Part_6_-_Jidai
Madang-eul Naon Amtalg,Movie,1,https://myanimelist.net/anime/12917/Madang-eul_Naon_Amtalg
Mardock Scramble: The Second Combustion,Movie,1,https://myanimelist.net/anime/10624/Mardock_Scramble__The_Second_Combustion
Megami no Café Terrace,TV,12,https://myanimelist.net/anime/52973/Megami_no_Café_Terrace
Meitantei Conan OVA 02: 16-nin no Yougisha,OVA,1,https://myanimelist.net/anime/2512/Meitantei_Conan_OVA_02__16-nin_no_Yougisha
Meng Qi Shi Shen: Huanxi Zhui Hun,ONA,12,https://myanimelist.net/anime/51203/Meng_Qi_Shi_Shen__Huanxi_Zhui_Hun
Meng Qi Shi Shen: Zaijie Liangyuan,ONA,12,https://myanimelist.net/anime/49847/Meng_Qi_Shi_Shen__Zaijie_Liangyuan
Nekojiru-sou,OVA,1,https://myanimelist.net/anime/601/Nekojiru-sou
Nihon Animator Mihonichi,ONA,35,https://myanimelist.net/anime/28149/Nihon_Animator_Mihonichi
Onegai My Melody,TV,52,https://myanimelist.net/anime/2489/Onegai_My_Melody
Papa no Iukoto wo Kikinasai! OVA,OVA,2,https://myanimelist.net/anime/17875/Papa_no_Iukoto_wo_Kikinasai_OVA
Pokemon Movie 08: Mew to Hadou no Yuusha Lucario,Movie,1,https://myanimelist.net/anime/1526/Pokemon_Movie_08__Mew_to_Hadou_no_Yuusha_Lucario
Saki Achiga-hen: Episode of Side-A,TV,12,https://myanimelist.net/anime/10884/Saki_Achiga-hen__Episode_of_Side-A
Sewayaki Kitsune no Senko-san,TV,12,https://myanimelist.net/anime/38759/Sewayaki_Kitsune_no_Senko-san
Shigofumi: Sore kara,Special,1,https://myanimelist.net/anime/4715/Shigofumi__Sore_kara
Kimi ni Todoke 2nd Season: Minitodo Gekijou,Special,3,https://myanimelist.net/anime/10536/Kimi_ni_Todoke_2nd_Season__Minitodo_Gekijou
Love Hina Christmas Special: Silent Eve,Special,1,https://myanimelist.net/anime/191/Love_Hina_Christmas_Special__Silent_Eve
Love Lab,TV,13,https://myanimelist.net/anime/16353/Love_Lab
Lupin III: Otakara Henkyaku Daisakusen!!,Special,1,https://myanimelist.net/anime/1424/Lupin_III__Otakara_Henkyaku_Daisakusen
Madou King Granzort,TV,41,https://myanimelist.net/anime/2818/Madou_King_Granzort
Meitantei Conan Magic File 5: Niigata - Tokyo Omiyage Capriccio,OVA,1,https://myanimelist.net/anime/10531/Meitantei_Conan_Magic_File_5__Niigata_-_Tokyo_Omiyage_Capriccio
One Piece Movie 08: Episode of Alabasta - Sabaku no Oujo to Kaizoku-tachi,Movie,1,https://myanimelist.net/anime/2107/One_Piece_Movie_08__Episode_of_Alabasta_-_Sabaku_no_Oujo_to_Kaizoku-tachi
One Piece: Mamore! Saigo no Dai Butai,Special,1,https://myanimelist.net/anime/1238/One_Piece__Mamore_Saigo_no_Dai_Butai
Onegai My Melody: Kurukuru Shuffle!,TV,52,https://myanimelist.net/anime/4114/Onegai_My_Melody__Kurukuru_Shuffle
Ore wo Suki nano wa Omae dake ka yo,TV,12,https://myanimelist.net/anime/38483/Ore_wo_Suki_nano_wa_Omae_dake_ka_yo
Piano no Mori (TV),TV,12,https://myanimelist.net/anime/36652/Piano_no_Mori_TV
Poketoon,ONA,8,https://myanimelist.net/anime/42161/Poketoon
Precure All Stars Movie New Stage 3: Eien no Tomodachi,Movie,1,https://myanimelist.net/anime/21031/Precure_All_Stars_Movie_New_Stage_3__Eien_no_Tomodachi
Quanzhi Fashi IV,ONA,12,https://myanimelist.net/anime/40005/Quanzhi_Fashi_IV
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,TV,12,https://myanimelist.net/anime/43470/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita_Heart
Ristorante Paradiso,TV,11,https://myanimelist.net/anime/5984/Ristorante_Paradiso
Robotics;Notes,TV,22,https://myanimelist.net/anime/13599/Robotics_Notes
Shen Lan Qi Yu Wushuang Zhu,ONA,15,https://myanimelist.net/anime/48965/Shen_Lan_Qi_Yu_Wushuang_Zhu
Appleseed Saga Ex Machina,Movie,1,https://myanimelist.net/anime/2969/Appleseed_Saga_Ex_Machina
Baki,ONA,26,https://myanimelist.net/anime/34443/Baki
Bishoujo Senshi Sailor Moon SuperS Gaiden: Ami-chan no Hatsukoi,Special,1,https://myanimelist.net/anime/1278/Bishoujo_Senshi_Sailor_Moon_SuperS_Gaiden__Ami-chan_no_Hatsukoi
Bubblegum Crisis,OVA,8,https://myanimelist.net/anime/1347/Bubblegum_Crisis
Chibi Maruko-chan (1995),TV,,https://myanimelist.net/anime/6149/Chibi_Maruko-chan_1995
Crayon Shin-chan Movie 04: Henderland no Daibouken,Movie,1,https://myanimelist.net/anime/8359/Crayon_Shin-chan_Movie_04__Henderland_no_Daibouken
Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,TV,13,https://myanimelist.net/anime/29067/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken_2_Sure-me
Dareka no Manazashi,Movie,1,https://myanimelist.net/anime/17121/Dareka_no_Manazashi
Doraemon Movie 12: Nobita no Dorabian Nights,Movie,1,https://myanimelist.net/anime/2670/Doraemon_Movie_12__Nobita_no_Dorabian_Nights
"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Movie,1,https://myanimelist.net/anime/901/Dragon_Ball_Z_Movie_08__Moetsukiro_Nessen_Ressen_Chougekisen
Fushigiboshi no☆Futagohime Gyu!,TV,52,https://myanimelist.net/anime/1886/Fushigiboshi_no☆Futagohime_Gyu
Galaxy Angel 3,TV,26,https://myanimelist.net/anime/653/Galaxy_Angel_3
Gekai Elise,TV,12,https://myanimelist.net/anime/54632/Gekai_Elise
Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Movie,1,https://myanimelist.net/anime/484/Gensoumaden_Saiyuuki_Movie__Requiem_-_Erabarezaru_Mono_e_no_Chinkonka
High School Fleet,TV,12,https://myanimelist.net/anime/31500/High_School_Fleet
Hottarake no Shima: Haruka to Mahou no Kagami,Movie,1,https://myanimelist.net/anime/5998/Hottarake_no_Shima__Haruka_to_Mahou_no_Kagami
Idaten Jump,TV,52,https://myanimelist.net/anime/1316/Idaten_Jump
Initial D Extra Stage,OVA,2,https://myanimelist.net/anime/822/Initial_D_Extra_Stage
Slayers Great,Movie,1,https://myanimelist.net/anime/868/Slayers_Great
Steamboy,Movie,1,https://myanimelist.net/anime/565/Steamboy
Strike Witches: Operation Victory Arrow,OVA,3,https://myanimelist.net/anime/23725/Strike_Witches__Operation_Victory_Arrow
The iDOLM@STER Cinderella Girls: U149 Special,Special,1,https://myanimelist.net/anime/55802/The_iDOLMSTER_Cinderella_Girls__U149_Special
The Third: Aoi Hitomi no Shoujo,TV,24,https://myanimelist.net/anime/944/The_Third__Aoi_Hitomi_no_Shoujo
Towa no Quon 2: Konton no Ranbu,Movie,1,https://myanimelist.net/anime/10713/Towa_no_Quon_2__Konton_no_Ranbu
Tsuki to Laika to Nosferatu,TV,12,https://myanimelist.net/anime/48471/Tsuki_to_Laika_to_Nosferatu
Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing,Special,1,https://myanimelist.net/anime/49241/Vivy__Fluorite_Eyes_Song_-_To_Make_Everyone_Happy_With_My_Singing
Wagamama☆Fairy Mirumo de Pon!,TV,172,https://myanimelist.net/anime/1744/Wagamama☆Fairy_Mirumo_de_Pon
Wonderful Precure!,TV,,https://myanimelist.net/anime/57390/Wonderful_Precure
Xiao Lu He Xiao Lan,ONA,72,https://myanimelist.net/anime/38250/Xiao_Lu_He_Xiao_Lan
"Yuyushiki: Komarasetari, Komarasaretari",OVA,1,https://myanimelist.net/anime/33035/Yuyushiki__Komarasetari_Komarasaretari
Zoids Shinseiki/Zero,TV,26,https://myanimelist.net/anime/764/Zoids_Shinseiki_Zero
Shinrei Tantei Yakumo,TV,13,https://myanimelist.net/anime/7662/Shinrei_Tantei_Yakumo
Slayers Gorgeous,Movie,1,https://myanimelist.net/anime/867/Slayers_Gorgeous
Slayers Return,Movie,1,https://myanimelist.net/anime/869/Slayers_Return
Sousei no Onmyouji,TV,50,https://myanimelist.net/anime/32105/Sousei_no_Onmyouji
Speed Grapher,TV,24,https://myanimelist.net/anime/198/Speed_Grapher
Tales of Zestiria the Cross 2nd Season,TV,13,https://myanimelist.net/anime/34086/Tales_of_Zestiria_the_Cross_2nd_Season
Tenchi Muyou! Ryououki: Omatsuri Zenjitsu no Yoru!,OVA,1,https://myanimelist.net/anime/1146/Tenchi_Muyou_Ryououki__Omatsuri_Zenjitsu_no_Yoru
The Animatrix,OVA,9,https://myanimelist.net/anime/1303/The_Animatrix
"Tokyo Ghoul: ""Jack""",OVA,1,https://myanimelist.net/anime/30458/Tokyo_Ghoul__Jack
Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Movie,1,https://myanimelist.net/anime/807/Tsubasa_Chronicle__Tori_Kago_no_Kuni_no_Himegimi
YAT Anshin! Uchuu Ryokou,TV,50,https://myanimelist.net/anime/1891/YAT_Anshin_Uchuu_Ryokou
YAT Anshin! Uchuu Ryokou 2,TV,25,https://myanimelist.net/anime/1892/YAT_Anshin_Uchuu_Ryokou_2
Yes! Precure 5 Movie: Kagami no Kuni no Miracle Daibouken!,Movie,1,https://myanimelist.net/anime/3051/Yes_Precure_5_Movie__Kagami_no_Kuni_no_Miracle_Daibouken
K: Seven Stories Movie 2 - Side:Blue - Tenrou no Gotoku,Movie,1,https://myanimelist.net/anime/37303/K__Seven_Stories_Movie_2_-_Side_Blue_-_Tenrou_no_Gotoku
Kidou Senshi Gundam 00 Movie: A Wakening of the Trailblazer,Movie,1,https://myanimelist.net/anime/6288/Kidou_Senshi_Gundam_00_Movie__A_Wakening_of_the_Trailblazer
Kowarekake no Orgel,OVA,1,https://myanimelist.net/anime/9213/Kowarekake_no_Orgel
Love Live! Nijigasaki Gakuen School Idol Doukoukai: Next Sky,OVA,1,https://myanimelist.net/anime/53671/Love_Live_Nijigasaki_Gakuen_School_Idol_Doukoukai__Next_Sky
Miracle Giants Doumu-kun,TV,49,https://myanimelist.net/anime/5273/Miracle_Giants_Doumu-kun
Peace Maker Kurogane,TV,24,https://myanimelist.net/anime/161/Peace_Maker_Kurogane
Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,Movie,1,https://myanimelist.net/anime/2847/Pokemon_Movie_10__Dialga_vs_Palkia_vs_Darkrai
Rakuen Tsuihou,Movie,1,https://myanimelist.net/anime/13391/Rakuen_Tsuihou
Re:Zero kara Hajimeru Break Time 2nd Season,Special,25,https://myanimelist.net/anime/42364/Re_Zero_kara_Hajimeru_Break_Time_2nd_Season
Rurouni Kenshin Special,Special,1,https://myanimelist.net/anime/12067/Rurouni_Kenshin_Special
Seijo no Maryoku wa Bannou desu,TV,12,https://myanimelist.net/anime/42826/Seijo_no_Maryoku_wa_Bannou_desu
Seitokai no Ichizon,TV,12,https://myanimelist.net/anime/5909/Seitokai_no_Ichizon
Ame wo Tsugeru Hyouryuu Danchi,Movie,1,https://myanimelist.net/anime/49938/Ame_wo_Tsugeru_Hyouryuu_Danchi
Artiswitch,ONA,6,https://myanimelist.net/anime/49066/Artiswitch
Aura: Maryuuin Kouga Saigo no Tatakai,Movie,1,https://myanimelist.net/anime/14669/Aura__Maryuuin_Kouga_Saigo_no_Tatakai
Bamboo Blade,TV,26,https://myanimelist.net/anime/2986/Bamboo_Blade
"Chi's Sweet Home: Chi to Kocchi, Deau.",OVA,1,https://myanimelist.net/anime/7972/Chis_Sweet_Home__Chi_to_Kocchi_Deau
Dead Mount Death Play,TV,12,https://myanimelist.net/anime/53613/Dead_Mount_Death_Play
Dogs: Bullets & Carnage,OVA,4,https://myanimelist.net/anime/5593/Dogs__Bullets___Carnage
Doraemon Movie 38: Nobita no Takarajima,Movie,1,https://myanimelist.net/anime/35740/Doraemon_Movie_38__Nobita_no_Takarajima
Doraemon Movie 39: Nobita no Getsumen Tansaki,Movie,1,https://myanimelist.net/anime/38530/Doraemon_Movie_39__Nobita_no_Getsumen_Tansaki
Doraemon: Obaachan no Omoide,Movie,1,https://myanimelist.net/anime/2649/Doraemon__Obaachan_no_Omoide
Fate/Grand Order: Fujimaru Ritsuka wa Wakaranai,ONA,33,https://myanimelist.net/anime/54042/Fate_Grand_Order__Fujimaru_Ritsuka_wa_Wakaranai
Fullmetal Alchemist: Premium Collection,OVA,3,https://myanimelist.net/anime/908/Fullmetal_Alchemist__Premium_Collection
Fuse: Teppou Musume no Torimonochou,Movie,1,https://myanimelist.net/anime/13335/Fuse__Teppou_Musume_no_Torimonochou
Ginban Kaleidoscope,TV,12,https://myanimelist.net/anime/476/Ginban_Kaleidoscope
Girls & Panzer Movie Specials,Special,3,https://myanimelist.net/anime/32740/Girls___Panzer_Movie_Specials
Hayate no Gotoku!!: Atsu ga Natsuize - Mizugi-hen!,OVA,1,https://myanimelist.net/anime/5521/Hayate_no_Gotoku__Atsu_ga_Natsuize_-_Mizugi-hen
Heisei Tanuki Gassen Ponpoko,Movie,1,https://myanimelist.net/anime/1030/Heisei_Tanuki_Gassen_Ponpoko
Hokkyoku Hyakkaten no Concierge-san,Movie,1,https://myanimelist.net/anime/55115/Hokkyoku_Hyakkaten_no_Concierge-san
Aa! Megami-sama!,OVA,5,https://myanimelist.net/anime/49/Aa_Megami-sama
Aharen-san wa Hakarenai,TV,12,https://myanimelist.net/anime/49520/Aharen-san_wa_Hakarenai
Animal Yokochou,TV,51,https://myanimelist.net/anime/280/Animal_Yokochou
Bakemonogatari Recap,Special,1,https://myanimelist.net/anime/6948/Bakemonogatari_Recap
Beelzebub: Hirotta Akachan wa Daimaou!?,Special,1,https://myanimelist.net/anime/9120/Beelzebub__Hirotta_Akachan_wa_Daimaou
Bishoujo Senshi Sailor Moon: Sailor Stars - Hero Club,OVA,3,https://myanimelist.net/anime/13931/Bishoujo_Senshi_Sailor_Moon__Sailor_Stars_-_Hero_Club
Busou Renkin,TV,26,https://myanimelist.net/anime/1536/Busou_Renkin
Cang Lan Jue Part 2,ONA,12,https://myanimelist.net/anime/53905/Cang_Lan_Jue_Part_2
D4DJ Double Mix,Special,1,https://myanimelist.net/anime/51251/D4DJ_Double_Mix
Detroit Metal City: Birth of the Metal Devil,Special,1,https://myanimelist.net/anime/5065/Detroit_Metal_City__Birth_of_the_Metal_Devil
Edens Zero,TV,25,https://myanimelist.net/anime/42192/Edens_Zero
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,ONA,4,https://myanimelist.net/anime/45558/Fanren_Xiu_Xian_Chuan__Yan_Jia_Bao_Dazhan
Final Fantasy VII: Last Order,Special,1,https://myanimelist.net/anime/408/Final_Fantasy_VII__Last_Order
Gaikotsu Shotenin Honda-san,TV,12,https://myanimelist.net/anime/36317/Gaikotsu_Shotenin_Honda-san
Genki Bakuhatsu Ganbaruger,TV,47,https://myanimelist.net/anime/2916/Genki_Bakuhatsu_Ganbaruger
GJ-bu,TV,12,https://myanimelist.net/anime/14811/GJ-bu
Hetalia: The Beautiful World Extra Disc,OVA,1,https://myanimelist.net/anime/21075/Hetalia__The_Beautiful_World_Extra_Disc
Hifuu Katsudou Kiroku: The Sealed Esoteric History,OVA,,https://myanimelist.net/anime/36686/Hifuu_Katsudou_Kiroku__The_Sealed_Esoteric_History
Hisone to Maso-tan,TV,12,https://myanimelist.net/anime/36884/Hisone_to_Maso-tan
Hitorijime My Hero,TV,12,https://myanimelist.net/anime/33654/Hitorijime_My_Hero
Isekai Yakkyoku,TV,12,https://myanimelist.net/anime/49438/Isekai_Yakkyoku
Slayers Excellent,OVA,3,https://myanimelist.net/anime/1171/Slayers_Excellent
Space Pirate Captain Herlock: Outside Legend - The Endless Odyssey,OVA,13,https://myanimelist.net/anime/1081/Space_Pirate_Captain_Herlock__Outside_Legend_-_The_Endless_Odyssey
Strike Witches 2,TV,12,https://myanimelist.net/anime/6381/Strike_Witches_2
Sweat Punch,OVA,5,https://myanimelist.net/anime/1072/Sweat_Punch
Tari Tari,TV,13,https://myanimelist.net/anime/13333/Tari_Tari
Tom Sawyer no Bouken,TV,49,https://myanimelist.net/anime/2577/Tom_Sawyer_no_Bouken
Trinity Blood,TV,24,https://myanimelist.net/anime/27/Trinity_Blood
Uchuu Show e Youkoso,Movie,1,https://myanimelist.net/anime/8115/Uchuu_Show_e_Youkoso
"Wei, Kanjian Erduo La! 2",ONA,12,https://myanimelist.net/anime/39380/Wei_Kanjian_Erduo_La_2
Wu Geng Ji Zhi Tianqi,ONA,42,https://myanimelist.net/anime/36910/Wu_Geng_Ji_Zhi_Tianqi
Zegapain,TV,26,https://myanimelist.net/anime/878/Zegapain
Zettai Karen Children,TV,51,https://myanimelist.net/anime/4038/Zettai_Karen_Children
Zoku Touken Ranbu: Hanamaru,TV,12,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru
Lupin III: Part III,TV,50,https://myanimelist.net/anime/1426/Lupin_III__Part_III
Lupin the IIIrd: Mine Fujiko no Uso,Movie,1,https://myanimelist.net/anime/39487/Lupin_the_IIIrd__Mine_Fujiko_no_Uso
Mahoraba: Heartful Days,TV,26,https://myanimelist.net/anime/519/Mahoraba__Heartful_Days
Maria-sama ga Miteru,TV,13,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru
Maria-sama ga Miteru Specials,Special,7,https://myanimelist.net/anime/3468/Maria-sama_ga_Miteru_Specials
Marmalade Boy Movie,Movie,1,https://myanimelist.net/anime/520/Marmalade_Boy_Movie
Mazinger Z,TV,92,https://myanimelist.net/anime/2253/Mazinger_Z
Meng Qi Shi Shen,ONA,12,https://myanimelist.net/anime/37618/Meng_Qi_Shi_Shen
Mirai Nikki: Redial,OVA,1,https://myanimelist.net/anime/16762/Mirai_Nikki__Redial
Mushibugyou,TV,26,https://myanimelist.net/anime/17505/Mushibugyou
Naruto: Shippuuden Movie 1,Movie,1,https://myanimelist.net/anime/2472/Naruto__Shippuuden_Movie_1
Noir,TV,26,https://myanimelist.net/anime/272/Noir
Onihei,TV,13,https://myanimelist.net/anime/33983/Onihei
Ousama Ranking: Yuuki no Takarabako,TV,10,https://myanimelist.net/anime/52657/Ousama_Ranking__Yuuki_no_Takarabako
Precure All Stars Movie DX: Minna Tomodachi☆Kiseki no Zenin Daishuugou!,Movie,1,https://myanimelist.net/anime/5753/Precure_All_Stars_Movie_DX__Minna_Tomodachi☆Kiseki_no_Zenin_Daishuugou
Saezuru Tori wa Habatakanai: Don't Stay Gold,OVA,1,https://myanimelist.net/anime/41290/Saezuru_Tori_wa_Habatakanai__Dont_Stay_Gold
School Rumble San Gakki,OVA,2,https://myanimelist.net/anime/4015/School_Rumble_San_Gakki
Seitokai no Ichizon Lv.2: Watasu Seitokai,OVA,1,https://myanimelist.net/anime/15963/Seitokai_no_Ichizon_Lv2__Watasu_Seitokai
Shin Chou Kyou Ryo: Condor Hero,TV,26,https://myanimelist.net/anime/959/Shin_Chou_Kyou_Ryo__Condor_Hero
Shin Grimm Meisaku Gekijou,TV,23,https://myanimelist.net/anime/4061/Shin_Grimm_Meisaku_Gekijou
Kami nomi zo Shiru Sekai: 4-nin to Idol,OVA,1,https://myanimelist.net/anime/10805/Kami_nomi_zo_Shiru_Sekai__4-nin_to_Idol
Kamisama no Inai Nichiyoubi,TV,12,https://myanimelist.net/anime/16009/Kamisama_no_Inai_Nichiyoubi
Kiba,TV,51,https://myanimelist.net/anime/845/Kiba
Kuma Kuma Kuma Bear Punch!,TV,12,https://myanimelist.net/anime/45486/Kuma_Kuma_Kuma_Bear_Punch
Kurau Phantom Memory,TV,24,https://myanimelist.net/anime/483/Kurau_Phantom_Memory
Lupin III: Fuuma Ichizoku no Inbou,Movie,1,https://myanimelist.net/anime/1432/Lupin_III__Fuuma_Ichizoku_no_Inbou
Macross Δ,TV,26,https://myanimelist.net/anime/28013/Macross_Δ
Mahouka Koukou no Rettousei: Raihousha-hen,TV,13,https://myanimelist.net/anime/40497/Mahouka_Koukou_no_Rettousei__Raihousha-hen
Mai-Otome,TV,26,https://myanimelist.net/anime/99/Mai-Otome
Mei to Koneko Bus,Special,1,https://myanimelist.net/anime/2488/Mei_to_Koneko_Bus
Mirai no Mirai,Movie,1,https://myanimelist.net/anime/36936/Mirai_no_Mirai
Naruto: Shippuuden Movie 2 - Kizuna,Movie,1,https://myanimelist.net/anime/4437/Naruto__Shippuuden_Movie_2_-_Kizuna
Nazo no Kanojo X: Nazo no Natsu Matsuri,OVA,1,https://myanimelist.net/anime/13093/Nazo_no_Kanojo_X__Nazo_no_Natsu_Matsuri
Nitaboh,Movie,1,https://myanimelist.net/anime/1203/Nitaboh
Onegai☆Teacher: Himitsu na Futari,OVA,1,https://myanimelist.net/anime/443/Onegai☆Teacher__Himitsu_na_Futari
Pokemon Diamond & Pearl,TV,191,https://myanimelist.net/anime/1565/Pokemon_Diamond___Pearl
Pokemon Movie 23: Koko,Movie,1,https://myanimelist.net/anime/40881/Pokemon_Movie_23__Koko
Poputepipikku,TV,12,https://myanimelist.net/anime/35330/Poputepipikku
Potemayo,TV,12,https://myanimelist.net/anime/2744/Potemayo
Quanzhi Fashi V,ONA,12,https://myanimelist.net/anime/48941/Quanzhi_Fashi_V
Sankarea,TV,12,https://myanimelist.net/anime/11499/Sankarea
Senyuu.,TV,13,https://myanimelist.net/anime/15751/Senyuu
Shashinkan,Movie,1,https://myanimelist.net/anime/20671/Shashinkan
Aggressive Retsuko (ONA) 4th Season,ONA,10,https://myanimelist.net/anime/45489/Aggressive_Retsuko_ONA_4th_Season
Air,TV,12,https://myanimelist.net/anime/101/Air
Air in Summer,Special,2,https://myanimelist.net/anime/656/Air_in_Summer
Amagami SS,TV,25,https://myanimelist.net/anime/8676/Amagami_SS
Ao no Exorcist: Kuro no Iede,Special,1,https://myanimelist.net/anime/11266/Ao_no_Exorcist__Kuro_no_Iede
Aoyama Goushou Tanpenshuu,Special,7,https://myanimelist.net/anime/5578/Aoyama_Goushou_Tanpenshuu
Boku wa Tomodachi ga Sukunai Next,TV,12,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next
Btooom!,TV,12,https://myanimelist.net/anime/14345/Btooom
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de,Special,2,https://myanimelist.net/anime/24469/Buddy_Complex__Kanketsu-hen_-_Ano_Sora_ni_Kaeru_Mirai_de
Captain Tsubasa J,TV,47,https://myanimelist.net/anime/1674/Captain_Tsubasa_J
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV,13,https://myanimelist.net/anime/26349/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken
Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,Special,1,https://myanimelist.net/anime/10638/Denpa_Onna_to_Seishun_Otoko__Mayonaka_no_Taiyou
Doraemon Movie 29: Shin Nobita no Uchuu Kaitakushi,Movie,1,https://myanimelist.net/anime/6930/Doraemon_Movie_29__Shin_Nobita_no_Uchuu_Kaitakushi
Edomae Elf,TV,12,https://myanimelist.net/anime/52081/Edomae_Elf
Fate/stay night,TV,24,https://myanimelist.net/anime/356/Fate_stay_night
Gatchaman Crowds,TV,12,https://myanimelist.net/anime/18229/Gatchaman_Crowds
Helck,TV,24,https://myanimelist.net/anime/51020/Helck
Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto,TV,12,https://myanimelist.net/anime/49692/Heroine_Tarumono_Kiraware_Heroine_to_Naisho_no_Oshigoto
Hige wo Soru. Soshite Joshikousei wo Hirou.,TV,13,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou
Hikaru no Go: New Year Special,Special,1,https://myanimelist.net/anime/2336/Hikaru_no_Go__New_Year_Special
